reuse_distance,nanoseconds
50909,128.522
208566,211.269
734178,166.668
47664,102.700
258707,110.916
2900,35.798
314348,154.344
4927,27.582
364112,188.969
16,18.193
153697,24.648
239,26.996
5,18.779
450136,156.691
612255,187.795
57,19.366
108,18.779
27,19.366
295,19.366
159,19.366
26999,38.733
598,24.648
2056,24.648
237351,201.293
647,25.822
7,18.779
9,18.779
73,18.193
339843,188.382
232690,172.537
65,19.366
8249,85.681
23141,90.376
22,19.366
187,18.779
2854,26.409
66560,145.541
28,18.193
6,18.779
11556,26.996
1050,24.648
1030891,194.837
1,18.779
6175,29.930
221272,172.537
807090,157.865
402812,225.941
11,19.366
11,18.779
1,18.779
1892,27.582
319054,100.353
34044,36.972
1,18.779
36109,116.198
13,18.779
13,18.193
1423750,183.100
3398,26.996
2,18.779
157972,158.452
222788,166.668
17466,36.972
1743,25.235
2,18.779
1,18.193
1,18.779
162289,157.278
43,19.366
15,17.606
894,25.235
46092,188.969
6,18.779
1178,24.648
125,18.779
1731175,153.757
333,19.953
26,18.779
9,18.779
5361,25.822
1482,26.996
18553,115.024
815,400.825
24,18.193
34424,96.245
14,18.193
329,19.366
449760,147.302
9,18.779
1118853,150.236
952246,145.541
1506212,163.734
118859,180.166
7931,30.517
1251,27.582
289805,163.734
12386,127.348
2970,24.648
22426,31.104
543676,180.753
47284,26.996
9,18.193
11949,25.822
369942,218.312
11274,39.320
1621843,174.297
305383,405.520
2,18.779
20,18.779
1,18.193
13076,26.409
29881,149.062
26490,258.218
4,18.779
718962,224.180
403,18.779
71,19.953
112,18.779
50,19.366
621,203.640
60,19.953
8,18.779
489,26.409
3,18.193
335843,117.959
612394,94.484
989119,213.617
1983,26.996
867,147.302
10577,26.409
514,18.779
19,18.779
101159,311.622
2,19.366
1,18.193
542,19.366
2,18.779
1053725,178.405
1326,26.409
45,18.779
1504513,318.664
5,19.366
1365130,325.707
19004,36.385
42,19.366
468004,309.275
3,19.366
3004,26.409
25,18.193
332,25.235
2046362,191.903
1516,25.822
15561,95.658
477,18.779
5177,38.146
2492,26.996
130,18.779
626,19.366
2,18.193
120913,171.950
12,18.779
1212,26.996
1,18.193
1245876,171.950
3551,30.517
3,18.779
321,26.996
8047,26.409
1,19.366
428565,210.096
367635,179.579
1,18.779
1,19.366
239310,158.452
26658,36.385
71,19.953
53404,160.799
105049,165.494
213650,161.386
1345229,170.189
15,18.779
208476,91.550
394,26.409
286454,165.494
47,18.779
2,19.366
340,19.953
6612,25.235
5865,25.822
687,27.582
380,25.235
72238,151.996
972473,164.907
429,19.366
42915,112.090
1646,26.409
1673,23.474
6,18.779
6,18.779
3271,25.235
1,18.193
1,18.193
4589,26.409
2,18.779
265102,183.687
58,18.779
162,18.779
6750,29.343
2,18.193
16,18.779
4330,86.268
53,18.779
1,18.779
1,18.779
7,18.193
31,19.366
3,18.779
60,18.193
515990,192.490
28307,35.798
2006624,150.823
93,19.366
975,31.690
930495,158.452
40337,89.789
17,18.779
463,19.366
32,18.779
131,19.953
4617,25.235
105294,117.959
178,19.366
5115,32.864
230,18.779
407,26.409
558,19.366
13441,84.508
66097,117.372
2,18.193
39277,98.005
1093450,159.039
9013,40.493
1,18.779
1798200,189.555
18110,30.517
7,18.193
66,19.953
87402,213.030
18513,39.320
16,19.366
1179,26.996
17714,29.343
1544,25.235
1150367,170.776
7859,27.582
29,19.366
10,18.193
2,18.779
396,18.193
1443,26.409
12644,37.559
47,19.953
257371,160.799
14,19.366
11058,37.559
49,19.366
19941,100.353
70,26.409
1,19.366
41506,100.940
1,18.193
1721619,207.161
133,26.409
1,19.366
1476200,149.649
1,18.779
8,18.779
47,18.193
134647,179.579
183282,227.114
775,29.343
56,19.366
1548,25.822
1197173,160.799
41,18.779
5,19.366
16,18.193
454,19.366
15,18.779
16208,123.827
656681,203.640
200905,180.166
777960,294.016
80590,164.321
2,18.779
4102,31.690
1,19.366
58915,90.376
290782,198.945
3,18.193
1166,28.169
386019,170.189
2,18.779
208021,227.701
516273,101.527
1,18.779
320468,193.663
2,19.366
51,19.366
20575,117.372
446689,193.077
63769,234.744
1558545,149.062
264,19.366
36403,96.245
30,18.193
1913,26.996
617244,188.382
14043,97.419
30399,96.832
4770,29.343
4397,25.822
2912,25.822
1769,83.921
59,18.779
8604,109.743
3,18.193
64,18.779
241,18.779
1006666,226.528
849,24.061
281856,144.954
185295,172.537
2432,26.996
27958,90.376
45615,35.798
4249,26.409
4272,26.409
111173,97.419
